,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,summary,show.id,show.url,show.name,show.type,show.language,show.status,show.runtime,show.averageRuntime,show.premiered,show.ended,show.officialSite,show.schedule.time,show.rating.average,show.weight,show.network,show.webChannel.id,show.webChannel.name,show.webChannel.country.name,show.webChannel.country.code,show.webChannel.country.timezone,show.webChannel.officialSite,show.dvdCountry,show.externals.tvrage,show.externals.thetvdb,show.externals.imdb,show.image.medium,show.image.original,show.summary,show.updated,show._links.self.href,show._links.previousepisode.href,show.network.id,show.network.name,show.network.country.name,show.network.country.code,show.network.country.timezone,show.network.officialSite,show._links.nextepisode.href,show.webChannel,show.image,show.webChannel.country,show.dvdCountry.name,show.dvdCountry.code,show.dvdCountry.timezone,self.href,medium,original,average,show.country,Action,Adult,Adventure,Anime,Children,Comedy,Crime,DIY,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,1979824,https://www.tvmaze.com/episodes/1979824/sim-for-you-4x16-chanyeols-episode-16,Chanyeol's Episode 16,4,16.0,regular,2020-12-01,06:00,2020-11-30T21:00:00+00:00,16.0,<p><b>#ObtainedAConversationalSkill #WeSetUpATent♥ #ManySmiles</b></p>,41648,https://www.tvmaze.com/shows/41648/sim-for-you,Sim for You,Reality,Korean,Running,16.0,16.0,2019-03-25,,https://www.vlive.tv/video/121637,,,65,,122.0,V LIVE,"Korea, Republic of",KR,Asia/Seoul,https://www.vlive.tv/home,,,361541.0,,https://static.tvmaze.com/uploads/images/medium_portrait/190/476668.jpg,https://static.tvmaze.com/uploads/images/original_untouched/190/476668.jpg,<p><b>Sim for You</b> is a reality series that chronicles each EXO member's life and reveal stories from their everyday life as a series.</p>,1608499007,https://api.tvmaze.com/shows/41648,https://api.tvmaze.com/episodes/1988862,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1979824,,,,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1979222,https://www.tvmaze.com/episodes/1979222/kotiki-1x02-seria-2,Серия 2,1,2.0,regular,2020-12-01,,2020-12-01T00:00:00+00:00,12.0,,52198,https://www.tvmaze.com/shows/52198/kotiki,Котики,Scripted,Russian,Ended,12.0,12.0,2020-11-30,2020-12-11,http://epic-media.ru/project/kotiki,10:00,,12,,510.0,Epic Media,Russian Federation,RU,Asia/Kamchatka,,,,392682.0,,https://static.tvmaze.com/uploads/images/medium_portrait/355/888089.jpg,https://static.tvmaze.com/uploads/images/original_untouched/355/888089.jpg,,1637555191,https://api.tvmaze.com/shows/52198,https://api.tvmaze.com/episodes/1986873,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1979222,,,,Russian Federation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2,2008027,https://www.tvmaze.com/episodes/2008027/lab-s-antonom-belaevym-2x06-lolita,Лолита,2,6.0,regular,2020-12-01,,2020-12-01T00:00:00+00:00,29.0,,52933,https://www.tvmaze.com/shows/52933/lab-s-antonom-belaevym,LAB с Антоном Беляевым,Documentary,Russian,To Be Determined,26.0,25.0,2019-12-17,,https://premier.one/show/lab-laboratoriya-muzyki-antona-belyaeva,23:45,,22,,381.0,КиноПоиск HD,Russian Federation,RU,Asia/Kamchatka,https://hd.kinopoisk.ru/,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/379/948045.jpg,https://static.tvmaze.com/uploads/images/original_untouched/379/948045.jpg,<p>Russian music artists reveal themselves from unexpected sides in the Anton Belyaev's show.</p>,1654035738,https://api.tvmaze.com/shows/52933,https://api.tvmaze.com/episodes/2245512,308.0,ТНТ,Russian Federation,RU,Asia/Kamchatka,,,,,,,,,https://api.tvmaze.com/episodes/2008027,https://static.tvmaze.com/uploads/images/medium_landscape/294/737206.jpg,https://static.tvmaze.com/uploads/images/original_untouched/294/737206.jpg,,Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1964565,https://www.tvmaze.com/episodes/1964565/core-sense-1x09-episode-9,Episode 9,1,9.0,regular,2020-12-01,10:00,2020-12-01T02:00:00+00:00,24.0,,51336,https://www.tvmaze.com/shows/51336/core-sense,Core Sense,Animation,Chinese,Running,24.0,24.0,2020-10-13,,https://www.bilibili.com/bangumi/media/md28223064,10:00,,31,,51.0,Bilibili,China,CN,Asia/Shanghai,,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/278/696645.jpg,https://static.tvmaze.com/uploads/images/original_untouched/278/696645.jpg,"<p>The power of beginnings, the energy of the core stone; one may find it good, one may find it evil. During a normal investigation, Yue Juntian finds himself drawn into the battle between the 'beginnings' of Yun City; Jiang Xin arrives in Yun City to stop Li Zunyuan's plan to take over. The two influence each other - one solves the mystery of their birth, the other redeems themselves. Together, they oppose Li Zunyuan.<br /> </p>",1604587119,https://api.tvmaze.com/shows/51336,https://api.tvmaze.com/episodes/1964569,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1964565,,,,China,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,2052503,https://www.tvmaze.com/episodes/2052503/wu-shen-zhu-zai-1x80-episode-80,Episode 80,1,80.0,regular,2020-12-01,10:00,2020-12-01T02:00:00+00:00,8.0,,54033,https://www.tvmaze.com/shows/54033/wu-shen-zhu-zai,Wu Shen Zhu Zai,Animation,Chinese,Running,8.0,8.0,2020-03-08,,https://v.qq.com/detail/m/7q544xyrava3vxf.html,10:00,,82,,104.0,Tencent QQ,China,CN,Asia/Shanghai,https://v.qq.com/,,,379070.0,,https://static.tvmaze.com/uploads/images/medium_portrait/299/748854.jpg,https://static.tvmaze.com/uploads/images/original_untouched/299/748854.jpg,"<p>The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.<br /><br />Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen's will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father's birth, the mother and son were treated coldly in Dingwu's palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again.</p>",1649423444,https://api.tvmaze.com/shows/54033,https://api.tvmaze.com/episodes/2309445,,,,,,,https://api.tvmaze.com/episodes/2309446,,,,,,,https://api.tvmaze.com/episodes/2052503,,,,China,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,2315116,https://www.tvmaze.com/episodes/2315116/sono-koi-mousukoshi-atatamemasuka-1x05-episode-5,Episode 5,1,5.0,regular,2020-12-01,,2020-12-01T03:00:00+00:00,15.0,,61674,https://www.tvmaze.com/shows/61674/sono-koi-mousukoshi-atatamemasuka,Sono koi Mousukoshi Atatamemasuka,Scripted,Japanese,Ended,15.0,15.0,2020-10-20,2020-12-22,https://www.paravi.jp/static/koisuko,22:00,,1,,342.0,Paravi,Japan,JP,Asia/Tokyo,,,,419045.0,,https://static.tvmaze.com/uploads/images/medium_portrait/404/1012331.jpg,https://static.tvmaze.com/uploads/images/original_untouched/404/1012331.jpg,"<p>It's spin-off drama of <b>""Kono Koi Atatamemasu ka""</b></p>",1650915213,https://api.tvmaze.com/shows/61674,https://api.tvmaze.com/episodes/2315117,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/2315116,,,,Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,2387985,https://www.tvmaze.com/episodes/2387985/run-bts-5x28-ep118-photo-story-1,EP.118 [Photo Story 1],5,28.0,regular,2020-12-01,,2020-12-01T03:00:00+00:00,,,63967,https://www.tvmaze.com/shows/63967/run-bts,Run BTS!,Variety,Korean,Running,,,2015-08-01,,,,,13,,346.0,Weverse,"Korea, Republic of",KR,Asia/Seoul,https://www.weverse.io/,,,325091.0,,https://static.tvmaze.com/uploads/images/medium_portrait/421/1053306.jpg,https://static.tvmaze.com/uploads/images/original_untouched/421/1053306.jpg,"<p>A South Korean show by the boy group BTS. The show is all about BTS doing activities, challenges and lots more.</p>",1662488262,https://api.tvmaze.com/shows/63967,https://api.tvmaze.com/episodes/2388024,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/2387985,,,,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,1973538,https://www.tvmaze.com/episodes/1973538/please-wait-brother-1x17-episode-17,Episode 17,1,17.0,regular,2020-12-01,12:00,2020-12-01T04:00:00+00:00,37.0,,52038,https://www.tvmaze.com/shows/52038/please-wait-brother,"Please Wait, Brother",Scripted,Chinese,Ended,37.0,37.0,2020-11-17,2020-12-08,,12:00,,20,,104.0,Tencent QQ,China,CN,Asia/Shanghai,https://v.qq.com/,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/284/711240.jpg,https://static.tvmaze.com/uploads/images/original_untouched/284/711240.jpg,,1607697965,https://api.tvmaze.com/shows/52038,https://api.tvmaze.com/episodes/1973545,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1973538,,,,China,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8,1973539,https://www.tvmaze.com/episodes/1973539/please-wait-brother-1x18-episode-18,Episode 18,1,18.0,regular,2020-12-01,12:00,2020-12-01T04:00:00+00:00,37.0,,52038,https://www.tvmaze.com/shows/52038/please-wait-brother,"Please Wait, Brother",Scripted,Chinese,Ended,37.0,37.0,2020-11-17,2020-12-08,,12:00,,20,,104.0,Tencent QQ,China,CN,Asia/Shanghai,https://v.qq.com/,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/284/711240.jpg,https://static.tvmaze.com/uploads/images/original_untouched/284/711240.jpg,,1607697965,https://api.tvmaze.com/shows/52038,https://api.tvmaze.com/episodes/1973545,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1973539,,,,China,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9,1984264,https://www.tvmaze.com/episodes/1984264/fearless-whispers-1x51-episode-51,Episode 51,1,51.0,regular,2020-12-01,,2020-12-01T04:00:00+00:00,60.0,,52373,https://www.tvmaze.com/shows/52373/fearless-whispers,Fearless Whispers,Scripted,Chinese,Ended,60.0,60.0,2020-11-06,2020-12-01,,,,14,,,,,,,,,,391554.0,,https://static.tvmaze.com/uploads/images/medium_portrait/288/721078.jpg,https://static.tvmaze.com/uploads/images/original_untouched/288/721078.jpg,"<p>A story revolving around a fresh graduate who holds an idealistic view of what's right and wrong, yet realizes that the very institution he chose to serve falls heavily onto a gray area caught in the struggles during chaotic times.</p>",1607717005,https://api.tvmaze.com/shows/52373,https://api.tvmaze.com/episodes/1984264,1282.0,CCTV-1,China,CN,Asia/Shanghai,,,,,,,,,https://api.tvmaze.com/episodes/1984264,,,,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
